City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,huayin,34.5675,110.0921,13.95,84,100,0.91,CN,1683610469
281,mejit,10.2753,170.8646,27.03,83,99,6.69,MH,1683610470
282,broken hill,-31.95,141.4333,16.26,44,5,7.39,AU,1683610265
283,metlili chaamba,32.2667,3.6333,16.52,39,0,1.54,DZ,1683610470
284,tura,25.5198,90.2201,36.36,19,48,3.14,IN,1683610471
285,midvagur,62.0511,-7.1939,8.46,100,100,2.06,FO,1683610471
286,kudahuvadhoo,2.6708,72.8944,28.44,76,62,5.4,MV,1683610471
287,yuzhno-kurilsk,44.0306,145.8556,8.81,67,24,6.06,RU,1683610471
288,dryden,49.7833,-92.7503,11.16,87,100,0.0,CA,1683610472
289,peace river,56.2501,-117.286,9.17,87,0,1.54,CA,1683610473
290,chabahar,25.2919,60.643,35.88,21,3,1.79,IR,1683610474
291,digne-les-bains,44.0833,6.25,14.92,78,99,0.52,FR,1683610474
292,bafoulabe,13.8065,-10.8321,30.3,36,100,1.99,ML,1683610474
293,kingston,17.997,-76.7936,27.53,84,20,3.09,JM,1683610475
294,bella union,-30.2752,-57.6007,11.25,79,0,2.64,UY,1683610475
295,plastun,44.7561,136.2939,12.79,38,89,4.39,RU,1683610475
296,dalnegorsk,44.5604,135.5701,10.57,37,87,6.41,RU,1683610475
297,morrelgonj,22.4537,89.8587,41.21,17,1,2.62,BD,1683610476
298,natal,-5.795,-35.2094,24.12,100,0,3.09,BR,1683610355
299,adjumani,3.3779,31.7909,22.05,86,94,1.16,UG,1683610476
300,launceston,-41.45,147.1667,16.8,44,75,6.17,AU,1683610476
301,wenling,28.3669,121.36,19.0,53,0,4.81,CN,1683610477
302,st. john's,47.5649,-52.7093,6.49,97,100,7.2,CA,1683610202
303,mandera,3.9366,41.867,28.72,58,20,8.21,KE,1683610477
304,geneina,13.45,22.45,28.61,15,76,5.0,SD,1683610477
305,baardheere,2.3446,42.2764,28.6,64,13,8.8,SO,1683610477
306,vernon,50.2581,-119.2691,13.34,79,84,1.03,CA,1683610300
307,port douglas,-16.4833,145.4667,23.24,68,97,3.63,AU,1683610478
308,kone,-21.0595,164.8658,23.42,73,86,2.82,NC,1683610478
309,chonchi,-42.6128,-73.8092,7.84,98,100,0.79,CL,1683610478
310,karratha,-20.7377,116.8463,28.77,28,0,8.23,AU,1683610478
311,paciran,-6.8767,112.3761,30.51,65,100,1.18,ID,1683610478
312,aitape,-3.1374,142.3475,29.31,74,92,1.76,PG,1683610479
313,tindouf,27.6711,-8.1474,28.25,15,0,2.06,DZ,1683610479
314,vallenar,-28.5708,-70.7581,16.01,46,2,0.08,CL,1683610479
315,illizi,26.4833,8.4667,22.89,50,97,3.34,DZ,1683610479
316,la'ie,21.6477,-157.9253,25.98,78,5,2.68,US,1683610480
317,petawawa,45.9001,-77.3328,4.21,70,35,1.64,CA,1683610480
318,hasparren,43.3838,-1.305,14.9,77,100,1.03,FR,1683610480
319,namibe,-15.1961,12.1522,22.82,77,33,1.33,AO,1683610480
320,kimberley,-28.7323,24.7623,5.83,100,0,1.03,ZA,1683610480
321,songling,31.1933,120.7176,23.97,26,9,1.94,CN,1683610481
322,quellon,-43.1167,-73.6167,9.14,93,100,0.0,CL,1683610395
323,monte argentario,42.4345,11.1195,12.89,83,23,2.01,IT,1683610481
324,mogocha,53.7333,119.7667,12.8,32,57,3.6,RU,1683610481
325,hun,29.1268,15.9477,26.31,20,2,6.51,LY,1683610481
326,nyurba,63.2842,118.3319,4.79,91,99,7.4,RU,1683610482
